A,B,C,D,E,F
2,-12.63,38,503.52,-11.6287,-31.9495
25,171.29,22,279.07,-41.509,-36.0832
1,-20.75,29,377.46,-6.13721,-12.5831
3,-4.98,21,265.52,18.8677,16.4015
23,155.48,9,97.36,19.0126,28.1873
25,171.06,3,13.2,23.8211,2.92486
0,-28.74,14,167.39,35.5566,83.7659
30,211.29,0,-28.83,44.5344,59.099
21,139.46,24,307.4,2.87736,2.77863
1,-20.95,1,-14.92,54.7039,22.1018
34,243.13,16,195.34,15.1741,11.4345
19,123.16,1,-14.97,-6.12234,-3.39366
38,275.01,9,97.47,13.4859,33.3786
29,203.34,32,419.42,43.11,29.078
34,243.11,9,97.04,-57.9918,-24.616
35,251.4,16,195.2,-69.2821,-40
16,99.49,6,55.06,28.4716,63.9482
34,242.97,15,181.4,-55.1608,-43.0963
18,115.28,13,153.39,58.2194,48.8518
11,59.48,31,404.97,-29.8858,-2.61467
20,131.02,3,13.33,0.629321,0.777146
11,59.54,0,-28.54,59.8163,27.8928
21,139.09,10,111.45,29.9552,46.1269
12,67.02,4,27.34,60.5885,30.8713
22,147.36,15,181.23,-66.7506,-12.975
18,115.09,23,293.19,25.364,14.0595
30,211.49,1,-14.93,60.6173,42.4446
32,227.52,32,419.11,-15.6369,-33.5334
26,179.04,17,209.19,-32.834,-90.2105
27,187.36,37,488.99,-59.7052,-57.6566
0,-28.48,1,-14.99,27.7328,8.47877
20,131.56,7,69.31,-21.5344,-22.2995
14,83.1,16,195.15,-75.2386,-54.664
10,51.23,19,237.45,-31.4659,-86.4517
5,11.24,26,335.19,-37.0944,-59.3633
23,155.19,39,517.42,-11.7414,-7.62494
19,123.44,8,83.23,31.1526,42.8779
7,27.04,3,13.52,-18.8405,-13.1922
7,27.37,28,363.35,-57.5472,-55.5726
25,171.02,16,195.09,-33.5468,-21.7855
15,91.4,21,265.03,33.1615,22.3677
15,90.97,38,503.12,77.5727,8.15321
36,259.03,30,391.28,12.6381,16.7713
34,243.37,20,251.19,-21.131,-45.3154
11,59.13,17,209.25,8.6525,26.6296
26,179.4,1,-14.44,-36.5279,-10.4742
19,123.54,13,153.14,-15.8807,-1.94991
9,44.17,18,223.36,46.7373,22.7953
19,123.03,4,27.56,-56.7311,-19.5341
39,283.29,10,111.34,-92.0505,-39.0731
6,19.55,34,447.24,-39.7545,-71.7188
21,139.14,5,41.31,30.559,14.9046
26,179.52,33,433.13,-26.2665,-80.8398
8,35.31,3,13.21,14.9762,43.4938
18,115.34,8,83.38,-23.564,-10.9881
31,219.1,18,223.42,-17.5424,-57.3783
33,235.38,25,321.27,14.0664,33.1382
31,219.31,7,69.22,32.6116,84.9558
2,-12.52,9,97.55,4.63527,14.2658
34,243.02,4,27.31,-30.559,-14.9046
34,243.35,24,307.21,-56.8503,-31.5126
33,235.18,38,503.07,28.941,11.1094
34,243.32,0,-29.01,-38.0423,-12.3607
8,35.31,14,168.06,19.4164,14.1068
36,259.47,7,69.18,66.1929,51.7155
32,227.55,3,13.33,-30.6744,-20.6901
32,227.25,20,251.47,-81.5508,-8.57133
36,259.02,18,223.26,-85.607,-36.338
12,67.44,5,41.56,74.7128,18.628
20,131.5,32,419.44,-14.9762,-43.4938
21,139.03,27,349.41,1.14715,1.6383
15,91.32,10,111.52,16.4207,4.39992
19,123.03,25,321.34,34.5691,5.4752
28,195.16,32,419.02,56.2772,14.0315
26,179.36,22,279.35,17.4653,4.35459
35,251.08,35,461.39,-50.9117,-50.9117
24,163.2,17,209.31,38.4902,33.459
14,82.99,32,419.49,-50.5713,-34.1107
